"scenario","N","T","r","K","SNR_target","sigma2","N1k","T1k","c_ell","c_u","rep","method","mu_true","mu_hat","sq_err"
"window",100,80,6,1,1,0.0036,70,60,0.765985802167218,1.24280812401837,1,"real_pool",0.00904442875607074,0.0360952123458941,0.000731744892823458
"window",100,80,6,1,1,0.0036,70,60,0.765985802167218,1.24280812401837,1,"real_nopool",0.00904442875607074,0.0360952123458941,0.000731744892823458
"window",100,80,6,1,1,0.0036,70,60,0.765985802167218,1.24280812401837,1,"oracle_pool",0.00904442875607074,0.0476001856914992,0.00148654639286384
"window",100,80,6,1,1,0.0036,70,60,0.765985802167218,1.24280812401837,1,"oracle_nopool",0.00904442875607074,0.0476001856914992,0.00148654639286384
"window",100,80,6,1,1,0.0036,70,60,0.765985802167218,1.24280812401837,1,"oracle_local",0.00904442875607074,0.0203381872632613,0.00012754898121874
"window",100,80,6,1,1,0.0036,70,60,0.726576022788613,1.24340553020294,2,"real_pool",-0.0640569323212916,-0.0305309412272438,0.00112399207883818
"window",100,80,6,1,1,0.0036,70,60,0.726576022788613,1.24340553020294,2,"real_nopool",-0.0640569323212916,-0.0305309412272438,0.00112399207883818
"window",100,80,6,1,1,0.0036,70,60,0.726576022788613,1.24340553020294,2,"oracle_pool",-0.0640569323212916,-0.0327586922224777,0.000979579833283005
"window",100,80,6,1,1,0.0036,70,60,0.726576022788613,1.24340553020294,2,"oracle_nopool",-0.0640569323212916,-0.0327586922224777,0.000979579833283005
"window",100,80,6,1,1,0.0036,70,60,0.726576022788613,1.24340553020294,2,"oracle_local",-0.0640569323212916,-0.0665239662341159,6.08625632702502e-06
"window",100,80,6,1,1,0.0036,70,60,0.7630488472892,1.27608842142277,3,"real_pool",-0.00951554451762888,-0.00753858150661927,3.90838274690018e-06
"window",100,80,6,1,1,0.0036,70,60,0.7630488472892,1.27608842142277,3,"real_nopool",-0.00951554451762888,-0.00753858150661927,3.90838274690018e-06
"window",100,80,6,1,1,0.0036,70,60,0.7630488472892,1.27608842142277,3,"oracle_pool",-0.00951554451762888,0.00693106607198094,0.000270490999886266
"window",100,80,6,1,1,0.0036,70,60,0.7630488472892,1.27608842142277,3,"oracle_nopool",-0.00951554451762888,0.00693106607198094,0.000270490999886266
"window",100,80,6,1,1,0.0036,70,60,0.7630488472892,1.27608842142277,3,"oracle_local",-0.00951554451762888,-0.00843696101844588,1.16334236470984e-06
"window",100,80,6,1,1,0.0036,70,60,0.693190720048474,1.21720852158685,4,"real_pool",-0.0205895680289415,-0.0334013253652403,0.000164141126044207
"window",100,80,6,1,1,0.0036,70,60,0.693190720048474,1.21720852158685,4,"real_nopool",-0.0205895680289415,-0.0334013253652403,0.000164141126044207
"window",100,80,6,1,1,0.0036,70,60,0.693190720048474,1.21720852158685,4,"oracle_pool",-0.0205895680289415,-0.0237002057300902,9.67606690780806e-06
"window",100,80,6,1,1,0.0036,70,60,0.693190720048474,1.21720852158685,4,"oracle_nopool",-0.0205895680289415,-0.0237002057300902,9.67606690780806e-06
"window",100,80,6,1,1,0.0036,70,60,0.693190720048474,1.21720852158685,4,"oracle_local",-0.0205895680289415,-0.0237682555389656,1.01040542863835e-05
"window",100,80,6,1,1,0.0036,70,60,0.711430111757144,1.24252136266854,5,"real_pool",0.0199424317359196,0.0254195947443569,2.99993146209943e-05
"window",100,80,6,1,1,0.0036,70,60,0.711430111757144,1.24252136266854,5,"real_nopool",0.0199424317359196,0.0254195947443569,2.99993146209943e-05
"window",100,80,6,1,1,0.0036,70,60,0.711430111757144,1.24252136266854,5,"oracle_pool",0.0199424317359196,0.0135829432221204,4.04430941571434e-05
"window",100,80,6,1,1,0.0036,70,60,0.711430111757144,1.24252136266854,5,"oracle_nopool",0.0199424317359196,0.0135829432221204,4.04430941571434e-05
"window",100,80,6,1,1,0.0036,70,60,0.711430111757144,1.24252136266854,5,"oracle_local",0.0199424317359196,0.0166676750825479,1.07240311388019e-05
"window",100,80,6,1,1,0.0036,70,60,0.707157777436396,1.2694261782464,6,"real_pool",0.0241461853015969,-0.0250550784207257,0.00242076435187354
"window",100,80,6,1,1,0.0036,70,60,0.707157777436396,1.2694261782464,6,"real_nopool",0.0241461853015969,-0.0250550784207257,0.00242076435187354
"window",100,80,6,1,1,0.0036,70,60,0.707157777436396,1.2694261782464,6,"oracle_pool",0.0241461853015969,-0.0181428622590965,0.00178836354359059
"window",100,80,6,1,1,0.0036,70,60,0.707157777436396,1.2694261782464,6,"oracle_nopool",0.0241461853015969,-0.0181428622590965,0.00178836354359059
"window",100,80,6,1,1,0.0036,70,60,0.707157777436396,1.2694261782464,6,"oracle_local",0.0241461853015969,0.019854645802608,1.84173112713825e-05
"window",100,80,6,1,1,0.0036,70,60,0.628480123584668,1.32342827256716,7,"real_pool",-0.0157744116623753,-0.0296693390440993,0.000193069006943383
"window",100,80,6,1,1,0.0036,70,60,0.628480123584668,1.32342827256716,7,"real_nopool",-0.0157744116623753,-0.0296693390440993,0.000193069006943383
"window",100,80,6,1,1,0.0036,70,60,0.628480123584668,1.32342827256716,7,"oracle_pool",-0.0157744116623753,-0.0123205244484656,1.19293368864094e-05
"window",100,80,6,1,1,0.0036,70,60,0.628480123584668,1.32342827256716,7,"oracle_nopool",-0.0157744116623753,-0.0123205244484656,1.19293368864094e-05
"window",100,80,6,1,1,0.0036,70,60,0.628480123584668,1.32342827256716,7,"oracle_local",-0.0157744116623753,-0.0160462989067165,7.39226736354449e-08
"window",100,80,6,1,1,0.0036,70,60,0.668575778274512,1.22988416801905,8,"real_pool",-0.0368936574463665,0.00175777442483224,0.00149393318569391
"window",100,80,6,1,1,0.0036,70,60,0.668575778274512,1.22988416801905,8,"real_nopool",-0.0368936574463665,0.00175777442483224,0.00149393318569391
"window",100,80,6,1,1,0.0036,70,60,0.668575778274512,1.22988416801905,8,"oracle_pool",-0.0368936574463665,-0.0212024911487786,0.000246212699778557
"window",100,80,6,1,1,0.0036,70,60,0.668575778274512,1.22988416801905,8,"oracle_nopool",-0.0368936574463665,-0.0212024911487786,0.000246212699778557
"window",100,80,6,1,1,0.0036,70,60,0.668575778274512,1.22988416801905,8,"oracle_local",-0.0368936574463665,-0.0377351296672535,7.0807549852458e-07
"window",100,80,6,1,1,0.0036,70,60,0.742104785268813,1.25727327149061,9,"real_pool",-0.00337138816832362,-0.0497818636567458,0.00215393223506144
"window",100,80,6,1,1,0.0036,70,60,0.742104785268813,1.25727327149061,9,"real_nopool",-0.00337138816832362,-0.0497818636567458,0.00215393223506144
"window",100,80,6,1,1,0.0036,70,60,0.742104785268813,1.25727327149061,9,"oracle_pool",-0.00337138816832362,-0.027074674842412,0.000561845799154015
"window",100,80,6,1,1,0.0036,70,60,0.742104785268813,1.25727327149061,9,"oracle_nopool",-0.00337138816832362,-0.027074674842412,0.000561845799154015
"window",100,80,6,1,1,0.0036,70,60,0.742104785268813,1.25727327149061,9,"oracle_local",-0.00337138816832362,-0.0101188200196166,4.55278365878433e-05
"window",100,80,6,1,1,0.0036,70,60,0.657860101766673,1.22819105025127,10,"real_pool",0.00359673536466236,0.0963518488216231,0.00860351107241366
