"scenario","N","T","r_true","K","SNR_target","method","xy_type","MSE","SD","SE","CI95","n"
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,1,1,"oracle_local","leading_eigenvectors_U2V2",0.0057493054285303,0.0105235014800668,0.000470625293414981,0.000922425575093363,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,2,1,"oracle_local","leading_eigenvectors_U2V2",0.00592664630407203,0.00968138406535382,0.000432964657728288,0.000848610729147444,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,5,1,"oracle_local","leading_eigenvectors_U2V2",0.00613343183808774,0.0118064797694067,0.00052800182678739,0.00103488358050328,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,10,1,"oracle_local","leading_eigenvectors_U2V2",0.0061369524597288,0.0100866918410213,0.000451090572492322,0.000884137522084951,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,20,1,"oracle_local","leading_eigenvectors_U2V2",0.00646513098490367,0.0119956380477131,0.000536461242163385,0.00105146403464024,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,50,1,"oracle_local","leading_eigenvectors_U2V2",0.00598599534157977,0.0104982873094186,0.000469497681423667,0.000920215455590388,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,200,1,"oracle_local","leading_eigenvectors_U2V2",0.00663362790048039,0.012329058409703,0.000551372254053226,0.00108068961794432,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,1,1,"oracle_nopool","leading_eigenvectors_U2V2",0.0173154711237208,0.0273049252517647,0.00122111337966993,0.00239338222415306,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,2,1,"oracle_nopool","leading_eigenvectors_U2V2",0.0183669717625637,0.0255553817707506,0.00114287141660715,0.00224002797655001,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,5,1,"oracle_nopool","leading_eigenvectors_U2V2",0.015299034330599,0.0256703466824689,0.00114801280375973,0.00225010509536907,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,10,1,"oracle_nopool","leading_eigenvectors_U2V2",0.0166891123149747,0.0246129751701082,0.00110072571217753,0.00215742239586795,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,20,1,"oracle_nopool","leading_eigenvectors_U2V2",0.0172207127744069,0.0246086123310267,0.0011005306000823,0.00215703997616132,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,50,1,"oracle_nopool","leading_eigenvectors_U2V2",0.0161852011837677,0.0249408108323029,0.00111538696869985,0.0021861584586517,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,200,1,"oracle_nopool","leading_eigenvectors_U2V2",0.0176927593701923,0.0281796017405423,0.00126023010141448,0.00247005099877238,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,1,1,"oracle_pool","leading_eigenvectors_U2V2",0.0173154711237208,0.0273049252517647,0.00122111337966993,0.00239338222415306,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,2,1,"oracle_pool","leading_eigenvectors_U2V2",0.0062510909297238,0.00896308554877857,0.000400841371504298,0.000785649088148423,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,5,1,"oracle_pool","leading_eigenvectors_U2V2",0.00202312491063586,0.00302734996316669,0.000135387206186444,0.00026535892412543,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,10,1,"oracle_pool","leading_eigenvectors_U2V2",0.000957788402036706,0.0014835431332108,6.63460658682475e-05,0.000130038289101765,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,20,1,"oracle_pool","leading_eigenvectors_U2V2",0.000411361508632615,0.000536492174662342,2.39926594388337e-05,4.70256125001141e-05,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,50,1,"oracle_pool","leading_eigenvectors_U2V2",0.000172736935835951,0.000242030376772918,1.08239275016826e-05,2.1214897903298e-05,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,200,1,"oracle_pool","leading_eigenvectors_U2V2",4.96811484312865e-05,8.03056198403615e-05,3.59137649876608e-06,7.03909793758152e-06,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,1,1,"real_nopool_misspec","leading_eigenvectors_U2V2",0.0507000914555092,0.0784605803357486,0.00350886382369634,0.00687737309444483,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,2,1,"real_nopool_misspec","leading_eigenvectors_U2V2",0.0541880722797272,0.076819910877116,0.00343549085493414,0.00673356207567091,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,5,1,"real_nopool_misspec","leading_eigenvectors_U2V2",0.049178419590431,0.0692849231873344,0.00309851596125462,0.00607309128405906,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,10,1,"real_nopool_misspec","leading_eigenvectors_U2V2",0.0505397032290343,0.0734723185774086,0.00328578197607213,0.00644013267310137,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,20,1,"real_nopool_misspec","leading_eigenvectors_U2V2",0.0524312750554149,0.0738464758125455,0.00330251479631292,0.00647292900077331,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,50,1,"real_nopool_misspec","leading_eigenvectors_U2V2",0.0540584116535933,0.0739725448498535,0.00330815277505849,0.00648397943911463,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,200,1,"real_nopool_misspec","leading_eigenvectors_U2V2",0.0523842450177791,0.0753311468928621,0.00336891130550924,0.0066030661587981,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,1,1,"real_pool_misspec","leading_eigenvectors_U2V2",0.0507000914555092,0.0784605803357486,0.00350886382369634,0.00687737309444483,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,2,1,"real_pool_misspec","leading_eigenvectors_U2V2",0.0273558793909704,0.042597845735172,0.00190503357517788,0.00373386580734864,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,5,1,"real_pool_misspec","leading_eigenvectors_U2V2",0.0104815829826316,0.0187845143520294,0.000840069020309165,0.00164653527980596,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,10,1,"real_pool_misspec","leading_eigenvectors_U2V2",0.00915640010071865,0.0162964311214668,0.00072879855556486,0.00142844516890713,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,20,1,"real_pool_misspec","leading_eigenvectors_U2V2",0.0086690291776663,0.015575786345137,0.000696570341414786,0.00136527786917298,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,50,1,"real_pool_misspec","leading_eigenvectors_U2V2",0.00849653731458497,0.0153922197284958,0.0006883609927506,0.00134918754579118,500
"window_leadingEigXY_allEstimatedRankMisspec",100,80,6,200,1,"real_pool_misspec","leading_eigenvectors_U2V2",0.00790152238601405,0.013887988643034,0.00062108973353138,0.00121733587772151,500
