"scenario","N","T","r","K","x_val","SNR_target","sigma2","N1k","T1k","c_ell","c_u","rep","method","mu_true","mu_hat","sq_err"
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.53656159471705,1.31369214562933,1,"real_pool",0.599683523053363,0.631088574512075,0.000986277257124382
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.53656159471705,1.31369214562933,1,"oracle_local",0.599683523053363,0.639578840049234,0.00159163631820103
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.663607135125967,1.4578387520841,2,"real_pool",-0.160353258369451,-0.156692541631239,1.34008470374259e-05
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.663607135125967,1.4578387520841,2,"oracle_local",-0.160353258369451,-0.165192608604218,2.34193106947435e-05
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.682416855137004,1.29543288378233,3,"real_pool",0.166407922867391,0.173659202288894,5.25810532487092e-05
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.682416855137004,1.29543288378233,3,"oracle_local",0.166407922867391,0.156659305049347,9.50355493622878e-05
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.577048899087856,1.42672448199317,4,"real_pool",0.110042337834145,0.167419034940453,0.00329208537082901
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.577048899087856,1.42672448199317,4,"oracle_local",0.110042337834145,0.168229988052558,0.00338580263794033
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.677326752394753,1.32363084813812,5,"real_pool",0.128115783424777,0.204649653446378,0.00585743326048334
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.677326752394753,1.32363084813812,5,"oracle_local",0.128115783424777,0.200337581792583,0.00521598815947997
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.584137887585335,1.23472813697807,6,"real_pool",-0.29615251646713,-0.225972034269731,0.00492530008145947
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.584137887585335,1.23472813697807,6,"oracle_local",-0.29615251646713,-0.263313139279278,0.00107842469408602
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.559425317780996,1.26640393840172,7,"real_pool",-0.253943016714368,-0.327689869170186,0.00543859824714018
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.559425317780996,1.26640393840172,7,"oracle_local",-0.253943016714368,-0.335550900592615,0.00665984671108546
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.674816180439473,1.43438730330235,8,"real_pool",-0.429030565942478,-0.468717705413249,0.00157506903937241
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.674816180439473,1.43438730330235,8,"oracle_local",-0.429030565942478,-0.450445972102883,0.000458619621015091
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.679210294592818,1.35706208259923,9,"real_pool",0.664276713439262,0.657665134306312,4.37129786312579e-05
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.679210294592818,1.35706208259923,9,"oracle_local",0.664276713439262,0.670848049886537,4.31824627032823e-05
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.647907916054834,1.35817803488327,10,"real_pool",-0.628038449648525,-0.672733227564484,0.0019976231729569
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.647907916054834,1.35817803488327,10,"oracle_local",-0.628038449648525,-0.666135704303146,0.00145140081221903
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.684916918742738,1.37412535814832,11,"real_pool",-0.750731692285955,-0.794563969072544,0.00192126848829618
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.684916918742738,1.37412535814832,11,"oracle_local",-0.750731692285955,-0.761218714245086,0.000109977629571302
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.699377382911899,1.50352327000417,12,"real_pool",0.0592230864906722,-0.0567710751443565,0.0134546455334132
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.699377382911899,1.50352327000417,12,"oracle_local",0.0592230864906722,-0.0448471204304569,0.0108306079686066
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.713275349404114,1.38653780279834,13,"real_pool",-0.788338596819466,-0.83290043955744,0.00198575782820392
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.713275349404114,1.38653780279834,13,"oracle_local",-0.788338596819466,-0.81217234718017,0.000568047656256359
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.633730886547656,1.33290932263779,14,"real_pool",0.436236914957522,0.503880606888284,0.00457566905802387
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.633730886547656,1.33290932263779,14,"oracle_local",0.436236914957522,0.528772636333063,0.00856285973049184
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.619212681824891,1.54661129833681,15,"real_pool",-0.578252542463874,-0.555553295513539,0.000515255812112257
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.619212681824891,1.54661129833681,15,"oracle_local",-0.578252542463874,-0.551288850293265,0.000727040695471356
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.658410840702499,1.40982227092629,16,"real_pool",0.677715447618164,0.649455258553308,0.000798638285981404
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.658410840702499,1.40982227092629,16,"oracle_local",0.677715447618164,0.66673888447976,0.00012048493833137
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.601985064438499,1.38606956768573,17,"real_pool",0.361379944562869,0.426045063190676,0.00418157756714832
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.601985064438499,1.38606956768573,17,"oracle_local",0.361379944562869,0.465482464818639,0.010837334723603
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.719418240580907,1.37654548834188,18,"real_pool",-0.294820437260548,-0.275911261708549,0.000357556920056308
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.719418240580907,1.37654548834188,18,"oracle_local",-0.294820437260548,-0.284146069076352,0.000113942136131764
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.597974349933795,1.32899114915594,19,"real_pool",-0.346588689011522,-0.35345525096369,4.71496730429651e-05
"fixed_x_window",200,200,6,100,79,1,0.0018,79,79,0.597974349933795,1.32899114915594,19,"oracle_local",-0.346588689011522,-0.355236319511815,7.47815132696082e-05
