"scenario","N","T","r","K","x_val","SNR_target","method","MSE","SD","SE","n"
"fixed_x_window",200,200,6,100,79,1,"oracle_local",0.00265235273575718,0.00368870807889867,0.000824820201357007,20
"fixed_x_window",200,200,6,100,89,1,"oracle_local",0.00213539159398566,0.00264423040106158,0.000591267892494524,20
"fixed_x_window",200,200,6,100,99,1,"oracle_local",0.00189983307500321,0.00215800648214204,0.000482544918995478,20
"fixed_x_window",200,200,6,100,109,1,"oracle_local",0.000847521917543254,0.0014452701353698,0.000323172226853719,20
"fixed_x_window",200,200,6,100,119,1,"oracle_local",0.00152863772235173,0.00298806638077544,0.000668151954869565,20
"fixed_x_window",200,200,6,100,129,1,"oracle_local",0.000754165593054663,0.00142723485758389,0.000319139416141481,20
"fixed_x_window",200,200,6,100,139,1,"oracle_local",0.000560951116203279,0.000913987953597133,0.000204373919485911,20
"fixed_x_window",200,200,6,100,149,1,"oracle_local",0.000434171294392695,0.00057166292284999,0.00012782771557088,20
"fixed_x_window",200,200,6,100,159,1,"oracle_local",0.000251707613756354,0.000287935056043662,6.4384235841884e-05,20
"fixed_x_window",200,200,6,100,169,1,"oracle_local",0.000199235442005291,0.000246625638803322,5.51471693358538e-05,20
"fixed_x_window",200,200,6,100,179,1,"oracle_local",9.38696805815007e-05,0.000119055113229113,2.66215326249231e-05,20
"fixed_x_window",200,200,6,100,189,1,"oracle_local",2.42559684718764e-05,2.92293989032944e-05,6.5358922889224e-06,20
"fixed_x_window",200,200,6,100,199,1,"oracle_local",1.09718917212357e-06,1.4793711316296e-06,3.30797441427458e-07,20
"fixed_x_window",200,200,6,100,79,100,"oracle_local",0.558551512180246,1.00564858157876,0.224869858988634,20
"fixed_x_window",200,200,6,100,89,100,"oracle_local",0.317573958173701,0.514082848852426,0.114952419610077,20
"fixed_x_window",200,200,6,100,99,100,"oracle_local",0.144750497256108,0.15869993764023,0.0354863848588531,20
"fixed_x_window",200,200,6,100,109,100,"oracle_local",0.0981977238833645,0.114255579075786,0.025548324162206,20
"fixed_x_window",200,200,6,100,119,100,"oracle_local",0.090755580898026,0.0837034607130658,0.0187166628106398,20
"fixed_x_window",200,200,6,100,129,100,"oracle_local",0.0919108092924588,0.113773412106685,0.0254405083502644,20
"fixed_x_window",200,200,6,100,139,100,"oracle_local",0.0551827835578774,0.0616428512327223,0.0137837605683274,20
"fixed_x_window",200,200,6,100,149,100,"oracle_local",0.0190748338466431,0.0343679935713524,0.00768491698758196,20
"fixed_x_window",200,200,6,100,159,100,"oracle_local",0.0165218409531928,0.0186766316922764,0.00417622180546569,20
"fixed_x_window",200,200,6,100,169,100,"oracle_local",0.0123125135101307,0.0146281321974758,0.00327094979774093,20
"fixed_x_window",200,200,6,100,179,100,"oracle_local",0.00831406600093982,0.00800478737244478,0.00178992487102185,20
"fixed_x_window",200,200,6,100,189,100,"oracle_local",0.0035839816238756,0.0029237499861101,0.000653770371815624,20
"fixed_x_window",200,200,6,100,199,100,"oracle_local",0.000170871375435471,0.000231544875808158,5.17750082148787e-05,20
"fixed_x_window",200,200,6,100,79,1,"real_pool",0.00266117361810837,0.00319838233188231,0.000715180031212314,20
"fixed_x_window",200,200,6,100,89,1,"real_pool",0.00201288631519914,0.00218172158047708,0.000487847776192503,20
